Date,Close_^NSEI,High_^NSEI,Low_^NSEI,Open_^NSEI,Volume_^NSEI,SMA20,Prev_Close,Prev_SMA20,Buy_Signal,Sell_Signal
2024-01-01,21741.900390625,21834.349609375,21680.849609375,21727.75,154000,,,,False,False
2024-01-02,21665.80078125,21755.599609375,21555.650390625,21751.349609375,263700,,21741.900390625,,False,False
2024-01-03,21517.349609375,21677.0,21500.349609375,21661.099609375,311900,,21665.80078125,,False,False
2024-01-04,21658.599609375,21685.650390625,21564.55078125,21605.80078125,339200,,21517.349609375,,False,False
2024-01-05,21710.80078125,21749.599609375,21629.19921875,21705.75,309300,,21658.599609375,,False,False
2024-01-08,21513.0,21763.94921875,21492.900390625,21747.599609375,231500,,21710.80078125,,False,False
2024-01-09,21544.849609375,21724.44921875,21517.849609375,21653.599609375,228600,,21513.0,,False,False
2024-01-10,21618.69921875,21641.849609375,21448.650390625,21529.30078125,217000,,21544.849609375,,False,False
2024-01-11,21647.19921875,21726.5,21593.75,21688.0,212500,,21618.69921875,,False,False
2024-01-12,21894.55078125,21928.25,21715.150390625,21773.55078125,294700,,21647.19921875,,False,False
2024-01-15,22097.44921875,22115.55078125,21963.55078125,22053.150390625,345500,,21894.55078125,,False,False
2024-01-16,22032.30078125,22124.150390625,21969.80078125,22080.5,292400,,22097.44921875,,False,False
2024-01-17,21571.94921875,21851.5,21550.44921875,21647.25,456000,,22032.30078125,,False,False
2024-01-18,21462.25,21539.400390625,21285.55078125,21414.19921875,387300,,21571.94921875,,False,False
2024-01-19,21622.400390625,21670.599609375,21575.0,21615.19921875,343100,,21462.25,,False,False
2024-01-23,21238.80078125,21750.25,21192.599609375,21716.69921875,449700,,21622.400390625,,False,False
2024-01-24,21453.94921875,21482.349609375,21137.19921875,21185.25,407500,,21238.80078125,,False,False
2024-01-25,21352.599609375,21459.0,21247.05078125,21454.599609375,418100,,21453.94921875,,False,False
2024-01-29,21737.599609375,21763.25,21429.599609375,21433.099609375,376700,,21352.599609375,,False,False
2024-01-30,21522.099609375,21813.05078125,21501.80078125,21775.75,375100,21630.207421875,21737.599609375,,False,False
2024-01-31,21725.69921875,21741.349609375,21448.849609375,21487.25,410600,21629.39736328125,21522.099609375,21630.207421875,True,False
2024-02-01,21697.44921875,21832.94921875,21658.75,21780.650390625,332500,21630.97978515625,21725.69921875,21629.39736328125,False,False
2024-02-02,21853.80078125,22126.80078125,21805.55078125,21812.75,442800,21647.80234375,21697.44921875,21630.97978515625,False,False
2024-02-05,21771.69921875,21964.30078125,21726.94921875,21921.05078125,440800,21653.45732421875,21853.80078125,21647.80234375,False,False
2024-02-06,21929.400390625,21951.400390625,21737.55078125,21825.19921875,371000,21664.3873046875,21771.69921875,21653.45732421875,False,False
2024-02-07,21930.5,22053.30078125,21860.150390625,22045.05078125,346300,21685.2623046875,21929.400390625,21664.3873046875,False,False
2024-02-08,21717.94921875,22011.05078125,21665.30078125,22009.650390625,491100,21693.91728515625,21930.5,21685.2623046875,False,False
2024-02-09,21782.5,21804.44921875,21629.900390625,21727.0,349200,21702.10732421875,21717.94921875,21693.91728515625,False,False
2024-02-12,21616.05078125,21831.69921875,21574.75,21800.80078125,287400,21700.54990234375,21782.5,21702.10732421875,False,True
2024-02-13,21743.25,21766.80078125,21543.349609375,21664.30078125,365800,21692.98486328125,21616.05078125,21700.54990234375,True,False
2024-02-14,21840.05078125,21870.849609375,21530.19921875,21578.150390625,359100,21680.11494140625,21743.25,21692.98486328125,False,False
2024-02-15,21910.75,21953.849609375,21794.80078125,21906.55078125,345400,21674.03740234375,21840.05078125,21680.11494140625,False,False
2024-02-16,22040.69921875,22068.650390625,21968.94921875,22020.30078125,343900,21697.47490234375,21910.75,21674.03740234375,False,False
2024-02-19,22122.25,22186.650390625,22021.05078125,22103.44921875,0,21730.47490234375,22040.69921875,21697.47490234375,False,False
2024-02-20,22196.94921875,22215.599609375,22045.849609375,22099.19921875,295700,21759.20234375,22122.25,21730.47490234375,False,False
2024-02-21,22055.05078125,22249.400390625,21997.94921875,22248.849609375,364500,21800.01484375,22196.94921875,21759.20234375,False,False
2024-02-22,22217.44921875,22252.5,21875.25,22081.55078125,343500,21838.18984375,22055.05078125,21800.01484375,False,False
2024-02-23,22212.69921875,22297.5,22186.099609375,22290.0,226000,21881.19482421875,22217.44921875,21838.18984375,False,False
2024-02-26,22122.05078125,22202.150390625,22075.150390625,22169.19921875,207800,21900.4173828125,22212.69921875,21881.19482421875,False,False
2024-02-27,22198.349609375,22218.25,22085.650390625,22090.19921875,252200,21934.2298828125,22122.05078125,21900.4173828125,False,False
2024-02-28,21951.150390625,22229.150390625,21915.849609375,22214.099609375,203000,21945.50244140625,22198.349609375,21934.2298828125,False,False
2024-02-29,21982.80078125,22060.55078125,21860.650390625,21935.19921875,360200,21959.77001953125,21951.150390625,21945.50244140625,False,False
2024-03-01,22338.75,22353.30078125,22047.75,22048.30078125,351500,21984.01748046875,21982.80078125,21959.77001953125,False,False
2024-03-04,22405.599609375,22440.900390625,22358.30078125,22403.5,298800,22015.7125,22338.75,21984.01748046875,False,False
2024-03-05,22356.30078125,22416.900390625,22269.150390625,22371.25,296200,22037.05751953125,22405.599609375,22015.7125,False,False
2024-03-06,22474.05078125,22497.19921875,22224.349609375,22327.5,312300,22064.23505859375,22356.30078125,22037.05751953125,False,False
2024-03-07,22493.55078125,22525.650390625,22430.0,22505.30078125,379900,22103.01513671875,22474.05078125,22064.23505859375,False,False
2024-03-11,22332.650390625,22526.599609375,22307.25,22517.5,277900,22130.52265625,22493.55078125,22103.01513671875,False,False
2024-03-12,22335.69921875,22452.55078125,22256.0,22334.44921875,299200,22166.505078125,22332.650390625,22130.52265625,False,False
2024-03-13,21997.69921875,22446.75,21905.650390625,22432.19921875,493300,22179.2275390625,22335.69921875,22166.505078125,False,True
2024-03-14,22146.650390625,22204.599609375,21917.5,21982.55078125,426700,22194.55751953125,21997.69921875,22179.2275390625,False,False
2024-03-15,22023.349609375,22120.900390625,21931.69921875,22064.849609375,661500,22200.1875,22146.650390625,22194.55751953125,False,False
2024-03-18,22055.69921875,22123.69921875,21916.55078125,21990.099609375,356300,22200.9375,22023.349609375,22200.1875,False,False
2024-03-19,21817.44921875,21978.30078125,21793.099609375,21946.44921875,344200,22185.6974609375,22055.69921875,22200.9375,False,False
2024-03-20,21839.099609375,21930.900390625,21710.19921875,21843.900390625,312400,22167.80498046875,21817.44921875,22185.6974609375,False,False
2024-03-21,22011.94921875,22080.94921875,21941.30078125,21989.900390625,353200,22165.64990234375,21839.099609375,22167.80498046875,False,False
2024-03-22,22096.75,22180.69921875,21883.30078125,21932.19921875,388700,22159.61494140625,22011.94921875,22165.64990234375,False,False
2024-03-26,22004.69921875,22073.19921875,21947.55078125,21947.900390625,328400,22149.21494140625,22096.75,22159.61494140625,False,False
2024-03-27,22123.650390625,22193.599609375,22052.849609375,22053.94921875,409100,22149.294921875,22004.69921875,22149.21494140625,False,False
2024-03-28,22326.900390625,22516.0,22163.599609375,22163.599609375,410500,22155.7224609375,22123.650390625,22149.294921875,True,False
2024-04-01,22462.0,22529.94921875,22427.75,22455.0,0,22181.26494140625,22326.900390625,22155.7224609375,False,False
2024-04-02,22453.30078125,22497.599609375,22388.150390625,22458.80078125,289500,22204.78994140625,22462.0,22181.26494140625,False,False
2024-04-03,22434.650390625,22521.099609375,22346.5,22385.69921875,309600,22209.5849609375,22453.30078125,22204.78994140625,False,False
2024-04-04,22514.650390625,22619.0,22303.80078125,22592.099609375,401000,22215.0375,22434.650390625,22209.5849609375,False,False
2024-04-05,22513.69921875,22537.599609375,22427.599609375,22486.400390625,242200,22222.907421875,22514.650390625,22215.0375,False,False
2024-04-08,22666.30078125,22697.30078125,22550.349609375,22578.349609375,227600,22232.519921875,22513.69921875,22222.907421875,False,False
2024-04-09,22642.75,22768.400390625,22612.25,22765.099609375,232400,22239.9798828125,22666.30078125,22232.519921875,False,False
2024-04-10,22753.80078125,22775.69921875,22673.69921875,22720.25,276800,22261.03740234375,22642.75,22239.9798828125,False,False
2024-04-12,22519.400390625,22726.44921875,22503.75,22677.400390625,357200,22270.2224609375,22753.80078125,22261.03740234375,False,False
2024-04-15,22272.5,22427.44921875,22259.55078125,22339.05078125,355500,22283.9625,22519.400390625,22270.2224609375,False,True
2024-04-16,22147.900390625,22213.75,22079.44921875,22125.30078125,317300,22284.025,22272.5,22283.9625,False,False
2024-04-18,21995.849609375,22326.5,21961.69921875,22212.349609375,456900,22282.65,22147.900390625,22284.025,False,False
2024-04-19,22147.0,22179.55078125,21777.650390625,21861.5,362500,22287.2150390625,21995.849609375,22282.65,False,False
2024-04-22,22336.400390625,22375.650390625,22198.150390625,22336.900390625,279300,22313.16259765625,22147.0,22287.2150390625,True,False
2024-04-23,22368.0,22447.55078125,22349.44921875,22447.05078125,231500,22339.6076171875,22336.400390625,22313.16259765625,False,False
2024-04-24,22402.400390625,22476.44921875,22384.0,22421.55078125,235900,22359.13017578125,22368.0,22339.6076171875,False,False
2024-04-25,22570.349609375,22625.94921875,22305.25,22316.900390625,475000,22382.81015625,22402.400390625,22359.13017578125,False,False
2024-04-26,22419.94921875,22620.400390625,22385.55078125,22620.400390625,329900,22403.57265625,22570.349609375,22382.81015625,False,False
2024-04-29,22643.400390625,22655.80078125,22441.900390625,22475.55078125,292000,22429.56015625,22419.94921875,22403.57265625,False,False
2024-04-30,22604.849609375,22783.349609375,22568.400390625,22679.650390625,361900,22443.4576171875,22643.400390625,22429.56015625,False,False
2024-05-02,22648.19921875,22710.5,22567.849609375,22567.849609375,445900,22452.767578125,22604.849609375,22443.4576171875,False,False
2024-05-03,22475.849609375,22794.69921875,22348.05078125,22766.349609375,438100,22453.89501953125,22648.19921875,22452.767578125,False,False
2024-05-06,22442.69921875,22588.80078125,22409.44921875,22561.599609375,320300,22454.2974609375,22475.849609375,22453.89501953125,False,True
2024-05-07,22302.5,22499.05078125,22232.05078125,22489.75,297800,22443.68994140625,22442.69921875,22454.2974609375,False,False
2024-05-08,22302.5,22368.650390625,22185.19921875,22231.19921875,277400,22433.12998046875,22302.5,22443.68994140625,False,False
2024-05-09,21957.5,22307.75,21932.400390625,22224.80078125,331300,22397.68994140625,22302.5,22433.12998046875,False,False
2024-05-10,22055.19921875,22131.30078125,21950.30078125,21990.94921875,265800,22368.31240234375,21957.5,22397.68994140625,False,False
2024-05-13,22104.05078125,22131.650390625,21821.05078125,22027.94921875,278200,22335.82490234375,22055.19921875,22368.31240234375,False,False
2024-05-14,22217.849609375,22270.05078125,22081.25,22112.900390625,230200,22320.74736328125,22104.05078125,22335.82490234375,False,False
2024-05-15,22200.55078125,22297.55078125,22151.75,22255.599609375,231900,22317.14990234375,22217.849609375,22320.74736328125,False,False
2024-05-16,22403.849609375,22432.25,22054.55078125,22319.19921875,368900,22329.94736328125,22200.55078125,22317.14990234375,True,False
2024-05-17,22466.099609375,22502.150390625,22345.650390625,22415.25,242700,22353.45986328125,22403.849609375,22329.94736328125,False,False
2024-05-21,22529.05078125,22591.099609375,22404.55078125,22404.55078125,347600,22372.56240234375,22466.099609375,22353.45986328125,False,False
2024-05-22,22597.80078125,22629.5,22483.150390625,22576.599609375,290300,22385.632421875,22529.05078125,22372.56240234375,False,False
2024-05-23,22967.650390625,22993.599609375,22577.44921875,22614.099609375,369800,22415.61494140625,22597.80078125,22385.632421875,False,False
2024-05-24,22957.099609375,23026.400390625,22908.0,22930.75,261900,22443.34990234375,22967.650390625,22415.61494140625,False,False
2024-05-27,22932.44921875,23110.80078125,22871.19921875,23038.94921875,260000,22461.4548828125,22957.099609375,22443.34990234375,False,False
2024-05-28,22888.150390625,22998.55078125,22858.5,22977.150390625,217900,22484.86494140625,22932.44921875,22461.4548828125,False,False
2024-05-29,22704.69921875,22825.5,22685.44921875,22762.75,269900,22487.9298828125,22888.150390625,22484.86494140625,False,False
2024-05-30,22488.650390625,22705.75,22417.0,22617.44921875,373400,22482.119921875,22704.69921875,22487.9298828125,False,False
2024-05-31,22530.69921875,22653.75,22465.099609375,22568.099609375,572100,22476.244921875,22488.650390625,22482.119921875,False,False
2024-06-03,23263.900390625,23338.69921875,23062.30078125,23337.900390625,569400,22515.6474609375,22530.69921875,22476.244921875,False,False
2024-06-04,21884.5,23179.5,21281.44921875,23179.5,1006100,22487.7375,23263.900390625,22515.6474609375,False,True
2024-06-05,22620.349609375,22670.400390625,21791.94921875,22128.349609375,638500,22503.62998046875,21884.5,22487.7375,True,False
2024-06-06,22821.400390625,22910.150390625,22642.599609375,22798.599609375,480400,22529.575,22620.349609375,22503.62998046875,False,False
2024-06-07,23290.150390625,23320.19921875,22789.05078125,22821.849609375,473600,22596.20751953125,22821.400390625,22529.575,False,False
2024-06-10,23259.19921875,23411.900390625,23227.150390625,23319.150390625,304400,22656.40751953125,23290.150390625,22596.20751953125,False,False
2024-06-11,23264.849609375,23389.44921875,23206.650390625,23283.75,305200,22714.4474609375,23259.19921875,22656.40751953125,False,False
2024-06-12,23322.94921875,23441.94921875,23295.94921875,23344.44921875,295600,22769.70244140625,23264.849609375,22714.4474609375,False,False
2024-06-13,23398.900390625,23481.05078125,23353.900390625,23480.94921875,268300,22829.619921875,23322.94921875,22769.70244140625,False,False
2024-06-14,23465.599609375,23490.400390625,23334.25,23464.94921875,223100,22882.707421875,23398.900390625,22829.619921875,False,False
2024-06-18,23557.900390625,23579.05078125,23499.69921875,23570.80078125,272200,22937.2974609375,23465.599609375,22882.707421875,False,False
2024-06-19,23516.0,23664.0,23412.900390625,23629.849609375,328800,22986.644921875,23557.900390625,22937.2974609375,False,False
2024-06-20,23567.0,23624.0,23442.599609375,23586.150390625,280300,23035.1048828125,23516.0,22986.644921875,False,False
2024-06-21,23501.099609375,23667.099609375,23398.19921875,23661.150390625,609900,23061.77734375,23567.0,23035.1048828125,False,False
2024-06-24,23537.849609375,23558.099609375,23350.0,23382.30078125,239400,23090.81484375,23501.099609375,23061.77734375,False,False
2024-06-25,23721.30078125,23754.150390625,23562.05078125,23577.099609375,298100,23130.257421875,23537.849609375,23090.81484375,False,False
2024-06-26,23868.80078125,23889.900390625,23670.44921875,23723.099609375,287800,23179.28994140625,23721.30078125,23130.257421875,False,False
2024-06-27,24044.5,24087.44921875,23805.400390625,23881.55078125,515200,23246.27998046875,23868.80078125,23179.28994140625,False,False
2024-06-28,24010.599609375,24174.0,23985.80078125,24085.900390625,354800,23322.37744140625,24044.5,23246.27998046875,False,False
2024-07-01,24141.94921875,24164.0,23992.69921875,23992.94921875,0,23402.93994140625,24010.599609375,23322.37744140625,False,False
2024-07-02,24123.849609375,24236.349609375,24056.400390625,24228.75,0,23445.93740234375,24141.94921875,23402.93994140625,False,False
2024-07-03,24286.5,24309.150390625,24207.099609375,24291.75,0,23566.03740234375,24123.849609375,23445.93740234375,False,False
2024-07-04,24302.150390625,24401.0,24281.0,24369.94921875,251200,23650.12744140625,24286.5,23566.03740234375,False,False
2024-07-05,24323.849609375,24363.0,24168.849609375,24213.349609375,298400,23725.24990234375,24302.150390625,23650.12744140625,False,False
